subject,fold,num_groups,stratify_label
00369,3,1,1|d0
00371,3,1,1|d0
00377,3,1,1|d0
00380,3,1,0|d0
00383,3,1,0|d0
00386,3,1,1|d0
00391,3,1,1|d0
00396,3,1,1|d0
00397,3,1,0|d0
00403,3,1,1|d0
00404,3,1,1|d0
00408,3,1,1|d0
00415,3,1,1|d0
00416,3,1,0|d0
00517,3,1,1|d0
00525,3,1,1|d0
00527,3,1,1|d0
00538,3,1,1|d0
497749,3,2,1|d1
675976,3,2,0|d1
840172,3,1,0|d1
844753,3,1,0|d1
845408,3,1,1|d1
850738,3,2,1|d1
859088,3,1,0|d1
860387,3,2,0|d1
861844,3,1,0|d1
00230,4,1,0|d0
00232,4,1,0|d0
00237,4,1,0|d0
00244,4,1,0|d0
00246,4,1,0|d0
00258,4,1,0|d0
00264,4,1,1|d0
00286,4,1,1|d0
00294,4,1,0|d0
00297,4,1,1|d0
00299,4,1,1|d0
00300,4,1,1|d0
00304,4,1,1|d0
00335,4,1,1|d0
00337,4,1,1|d0
00345,4,1,1|d0
00359,4,1,1|d0
00360,4,1,1|d0
00362,4,1,1|d0
00366,4,1,1|d0
00368,4,1,1|d0
00372,4,1,1|d0
00374,4,1,1|d0
00379,4,1,0|d0
00387,4,1,1|d0
00389,4,1,1|d0
00390,4,1,1|d0
00392,4,1,1|d0
00406,4,1,1|d0
00409,4,1,1|d0
00412,4,1,0|d0
00414,4,1,0|d0
00420,4,1,1|d0
00513,4,1,1|d0
00514,4,1,1|d0
00516,4,1,1|d0
00520,4,1,1|d0
00524,4,1,1|d0
00532,4,1,0|d0
00535,4,1,0|d0
00537,4,1,1|d0
00540,4,1,1|d0
00541,4,1,1|d0
00549,4,1,0|d0
00551,4,1,0|d0
740525,4,1,0|d1
845031,4,2,0|d1
845380,4,1,1|d1
846076,4,2,1|d1
846108,4,1,0|d1
849652,4,1,0|d1
850238,4,2,1|d1
851532,4,1,0|d1
861649,4,2,0|d1
